Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
CPU,,Intel,Core i5-3330,494,61.3,51926,https://cpu.userbenchmark.com/SpeedTest/10/IntelR-CoreTM-i5-3330-CPU---300GHz,
CPU,,Intel,Xeon E5530,495,61.1,662,https://cpu.userbenchmark.com/SpeedTest/4018/IntelR-XeonR-CPU-----------E5530----240GHz,
CPU,YD1400BBAEBOX,AMD,Ryzen 5 1400,496,61,71313,https://cpu.userbenchmark.com/AMD-Ryzen-5-1400/Rating/3922,
CPU,,Intel,Core i7-4702MQ,497,61,21618,https://cpu.userbenchmark.com/SpeedTest/2674/IntelR-CoreTM-i7-4702MQ-CPU---220GHz,
CPU,,Intel,Core i7-1185G7,498,60.9,11491,https://cpu.userbenchmark.com/SpeedTest/1268967/11th-Gen-IntelR-CoreTM-i7-1185G7---300GHz,
CPU,BX80662I56400,Intel,Core i5-6400,499,60.8,171457,https://cpu.userbenchmark.com/Intel-Core-i5-6400/Rating/3512,
CPU,AW8063801106200,Intel,Core i7-3630QM,500,60.8,65927,https://cpu.userbenchmark.com/Intel-Core-i7-3630QM/Rating/626,
CPU,FD8350FRHKBOX,AMD,FX-8350,501,60.8,313196,https://cpu.userbenchmark.com/AMD-FX-8350/Rating/1489,
CPU,,Intel,Core i7-4712HQ,502,60.7,5396,https://cpu.userbenchmark.com/SpeedTest/10973/IntelR-CoreTM-i7-4712HQ-CPU---230GHz,
CPU,,Intel,Core i7-3632QM,503,60.7,24912,https://cpu.userbenchmark.com/SpeedTest/36/IntelR-CoreTM-i7-3632QM-CPU---220GHz,
CPU,,Intel,Core i7-5557U,504,60.6,1590,https://cpu.userbenchmark.com/SpeedTest/27386/IntelR-CoreTM-i7-5557U-CPU---310GHz,
CPU,BX80623I52400,Intel,Core i5-2400,505,60.6,166255,https://cpu.userbenchmark.com/Intel-Core-i5-2400/Rating/803,
CPU,BX80677I37100T,Intel,Core i3-7100T,506,60.5,2911,https://cpu.userbenchmark.com/SpeedTest/230301/IntelR-CoreTM-i3-7100T-CPU---340GHz,
CPU,YD2200C5FBBOX,AMD,Ryzen 3 2200G,507,60.5,181631,https://cpu.userbenchmark.com/SpeedTest/441832/AMD-Ryzen-3-2200G-with-Radeon-Vega-Graphics,
CPU,,Intel,Core i7-3612QM,508,60.5,11760,https://cpu.userbenchmark.com/SpeedTest/329/IntelR-CoreTM-i7-3612QM-CPU---210GHz,
