Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
USB,LJDP20-32GCRBNA,Lexar,JumpDrive P20 USB 3.0 32GB,66,33.6,225,https://usb.userbenchmark.com/Lexar-JumpDrive-P20-USB-30-32GB/Rating/3527
USB,LJDP20-32GCRBEU,Lexar,JumpDrive P20 USB 3.0 32GB,66,33.6,225,https://usb.userbenchmark.com/Lexar-JumpDrive-P20-USB-30-32GB/Rating/3527
USB,9000300,Lacie,XtremKey USB 3.0 32GB,67,33.6,5,https://usb.userbenchmark.com/Lacie-XtremKey-USB-30-32GB/Rating/1566
USB,,TOSHIBA,TransMemory-Ex2 32GB,68,33.3,36,https://usb.userbenchmark.com/SpeedTest/10053/TOSHIBA-TransMemory-Ex2
USB,AUE700-64G-CBK,Adata,DashDrive Elite UE700 USB 3.0 64GB,69,33.2,375,https://usb.userbenchmark.com/Adata-DashDrive-Elite-UE700-USB-30-64GB/Rating/1562
USB,,HGST,HTS 545050A7E680 500GB,70,33.2,44,https://usb.userbenchmark.com/SpeedTest/10410/HGST-HTS-545050A7E680
USB,SDCZ73-256G-G46,SanDisk,Ultra Flair USB 3.0 256GB,71,32.9,71,https://usb.userbenchmark.com/SpeedTest/405096/SanDisk-Ultra-USB-30
USB,,WD,My Book 1140 2TB,72,32.9,10094,https://usb.userbenchmark.com/SpeedTest/1552/WD-My-Book-1140
USB,,WD,My Passport 07AE 500GB,73,32.8,53,https://usb.userbenchmark.com/SpeedTest/9818/WD-My-Passport-07AE
USB,,WD,My Book 1170 2TB,74,32.3,539,https://usb.userbenchmark.com/SpeedTest/4578/WD-My-Book-1170
USB,,Seagate,External 2TB,75,32.1,680,https://usb.userbenchmark.com/SpeedTest/2144/Seagate-External
USB,CMFVYGT3A-64GB,Corsair,Flash Voyager GT USB 3.0 64GB,76,32.1,392,https://usb.userbenchmark.com/Corsair-Flash-Voyager-GT-USB-30-64GB/Rating/1567
USB,,ST1000LM,024 HN-M101MBB 1TB,77,32.1,61,https://usb.userbenchmark.com/SpeedTest/1653/ST1000LM-024-HN-M101MBB
USB,,WD,My Passport 0830 1TB,78,32,8379,https://usb.userbenchmark.com/SpeedTest/9130/WD-My-Passport-0830
USB,,ST1500DL,003-9VT16L 1.5TB,79,32,190,https://usb.userbenchmark.com/SpeedTest/4549/ST1500DL-003-9VT16L
USB,,WD,My Book 1130 3TB,80,31.8,806,https://usb.userbenchmark.com/SpeedTest/4861/WD-My-Book-1130
USB,CMFVYGT3A-32GB,Corsair,Flash Voyager GT USB 3.0 32GB,81,31.6,701,https://usb.userbenchmark.com/Corsair-Flash-Voyager-GT-USB-30-32GB/Rating/1570
USB,,Seagate,FA GoFlex Desk 2TB,82,31.6,2298,https://usb.userbenchmark.com/SpeedTest/1236/Seagate-FA-GoFlex-Desk
USB,,Seagate,External 1TB,83,31.6,204,https://usb.userbenchmark.com/SpeedTest/9293/Seagate-External
USB,,WD,My Passport 0741 1TB,84,31.6,1389,https://usb.userbenchmark.com/SpeedTest/4935/WD-My-Passport-0741
USB,,WD,My Passport 07A8 1TB,85,31.5,5659,https://usb.userbenchmark.com/SpeedTest/2838/WD-My-Passport-07A8
USB,,Seagate,Backup+ BK 2TB,86,31.5,80,https://usb.userbenchmark.com/SpeedTest/5646/Seagate-Backup---BK
USB,,WD,My Passport 0810 500GB,87,31.2,1144,https://usb.userbenchmark.com/SpeedTest/6985/WD-My-Passport-0810
USB,,PNY,USB 3.0 FD 128GB,88,31.1,752,https://usb.userbenchmark.com/SpeedTest/5535/PNY-USB-30-FD
